french,fongbe
Tu dois systématiquement te laver les mains avant de passer à table pour le repas du soir.,Mi ɖó ná klɔ́ alɔ mitɔn lɛ́ɛ hwebǐnu cóbó ná jínjɔ́n ayǐ bó ná ɖu gbadanu nùɖuɖu ɔ́.
"Avant de quitter votre poste de travail, pensez à sauvegarder tous vos documents sur le serveur central.","Cobonu a na gosin azɔ̌mɛ towe ɔ, flín ɖɔ emi ɖó na hɛn wema emitɔn lɛ bǐ ɖó serveur central ɔ jí."
Ne donnez surtout pas vos informations bancaires à un inconnu qui vous contacterait par téléphone.,"Ma, ɖò ninɔmɛ ɖebǔ mɛ ɔ, na nǔ e a nɔ zán ɖò banki lɛ é jonɔ e nɔ ylɔ we gbɔn alokan jí é ɖé ó."
"ici 30 phrases très courtes pour la catégorie ""Négations & Oppositions"" :",Xógbe klewun klewun 30 ɖíe nú hɛ̌nnu &quot;Nɛgatifs &amp; Oppositions&quot;:
Elle ne veut plus.,É sɔ́ jló ná bló mɔ̌ ǎ.
Tu n'as aucun droit.,A ɖó acɛ ɖěbǔ ǎ.
N'y va pas.,Ma yi dɔ̌n ó.
Je ne comprends point.,Un mɔ nukúnnú jɛ mɛ ǎ.
Je m'y oppose.,Un nɔ klán gbè xá.
Je ne pense pas.,Un ɖi mɔ̌ ǎ.
Je ne réponds pas.,Un ɖò xósin na wɛ ǎ.
Elle n'aime personne.,É yí wǎn nú mɛɖé ǎ.
Tu ne manges rien ?,A ɖo nuɖe ɖu wɛ a ?
Pas de problème ?,Tagba ɖé ǎ ?
Jamais sans toi.,Gbeɖé hwi mɛvo ǎ.
"Hier, pendant que je regardais la télévision, mon frère préparait le dîner dans la cuisine.",Sɔ̀ ɔ‚ hwenu e un ɖo televiziɔn kpɔn wɛ ɔ‚ nɔvi ce ɖo gbadanu nuɖuɖu ɖa wɛ ɖo adohwɛsá.
"Dès que tu auras fini tes devoirs, nous pourrons enfin sortir jouer au parc.",Nú mi fó xwegbezɔwamɛ mitɔn tlolo ɔ‚ mi hɛn ɔ mi na tɔ́n bo na yi xo ayihun ɖo jikpá ɔ mɛ.
"Chaque matin, je prends mon café en lisant les dernières nouvelles sur mon téléphone.","Zǎnzǎn tɛgbɛ ɔ, un nɔ nu kafée ce bo nɔ ɖò xójlawema yɔyɔ̌ lɛ xà wɛ ɖò alokan ce jí."
"Si j'avais su que tu étais malade, je serais venu te rendre visite plus tôt.","Ényí un ko tunwun ɖɔ a ɖo azɔn jɛ wɛ ɔ́, un ná kó yá wǔ wá ba we kpɔ́n."
"Dans deux semaines, nous aurons déménagé dans notre nouvelle maison à la campagne.","Aklunɔzán gblamɛ wè gudo ɔ, mǐ na ko sɛ̀ tɛn yì xwé mǐtɔn yɔyɔ̌ e ɖò gletoxo ɔ mɛ é gbè."
"Il faut que tu fasses attention en traversant la route, surtout aux heures de pointe.","A ɖó na cɔ́ hwiɖée hwenu e a ɖò ali ɔ dasá wɛ é, ɖò taji ɔ, ɖò gan e mɛ è nɔ yawǔ gbɔn é."
"Pendant son enfance, elle passait toutes ses vacances chez ses grands-parents en Bretagne.","Ðò vǔ tɔn ɔ, é nɔ ɖu xwè tɔn lɛ bǐ ɖò tɔ́gbó tɔn lɛ gɔ́n ɖò Bretagne."
"Après avoir terminé son discours, le président a répondu aux questions des journalistes.","Ee togán ɔ fó xóɖiɖɔ tɔn gudo é ɔ, é yí gbè nú nùkanbyɔ xójlawema wlantɔ́ lɛ tɔn."
Nous étudions le français depuis trois ans et nous commençons enfin à le parler couramment.,Mǐ ko ɖò Flanségbe kplɔ́n wɛ sín xwè atɔn ɖíe bɔ mǐ wá jɛ xó ɖɔ jí ganji.
"Quand je serai grand, je voyagerai autour du monde pour découvrir différentes cultures.","Nú un sù ɔ, un na gbɔn gbɛ̀ ɔ bǐ mɛ bo na mɔ aca vovo lɛ."
"Il pleuvait encore quand nous sommes arrivés à la gare, trempés jusqu'aux os.","Jǐ kpó ɖò jija wɛ hwenu e mǐ wá jɔmɛhunj’ayǐtɛn ɔ é, bɔ mǐ xú kaka jɛ xú mɛ."
"Pour son anniversaire, nous lui avons offert un livre qu'il voulait acheter depuis longtemps.","Nú jigbezán tɔn ɔ, mǐ na ɛ wema e é ko jló na xɔ sín hwenu línlín ɖíe é ɖé."
"Pendant que tu étais absent, quelqu'un a appelé trois fois sans laisser de message.","Hwenu e a ɖò zɔ é ɔ, mɛɖé ylɔ we azɔn atɔ́ɔ́n bo ma jó wɛn ɖé dó ǎ."
"Chaque été, nous allons à la plage et nous y passons des journées entières à nager.","Hwenu e jǐ nɔ ja é ɔ, mǐ nɔ yì tɔ̀ tó bo nɔ zán azǎn blebu dó lɛ tɔ ɖò finɛ."
"Si tu veux réussir ton examen, il faudra que tu révises sérieusement pendant les vacances.","Nú a jló na ɖu ɖò tɛnkpɔn towe jí ɔ, a na ɖó na gbéjé nǔ lɛ kpɔ́n ganji ɖò xwè lɛ hwenu."
"Lorsque le téléphone a sonné, je prenais ma douche et je n'ai pas pu répondre.","Hwenu e alokan ɔ xò é ɔ, un ɖò wǔ lɛwu wɛ bo sɔ́ sixu yí gbè ǎ."
"Dans quelques années, les voitures électriques auront complètement remplacé les anciens modèles.","Ðò xwè yɔywɛ ɖé gudo ɔ, mɔ̌to e nɔ zán couláán lɛ é na ko ɖyɔ mɔ̌to xóxó lɛ bǐ mlɛ́mlɛ́."
Il m'a promis qu'il viendrait me chercher à l'aéroport sans aucun retard.,É d’akpá ɖɔ emi na wá yí mì ɖò jɔmɛhunj’ayǐtɛn ɔ bo ma na ɖó hwenu ɖebǔ ǎ.
"Tous les soirs, je me couche tôt parce que je dois me lever à cinq heures.","Zǎnmɛ tɛgbɛ ɔ, un nɔ yawu mlɔ́ ayǐ ɖó un ɖó na fɔ́n ɖò gan atɔ́ɔ́n mɛ."
"Quand nous étions petits, nous croyions encore au Père Noël et aux histoires fantastiques.","Hwenu e mǐ ɖò vǔ é ɔ, mǐ kpó ɖò nǔ ɖi nú Papa Noël kpo tan jiwǔ lɛ kpo wɛ."
"Aussitôt que le spectacle sera terminé, nous irons dîner dans ce restaurant italien.","Nú nǔwiwa ɔ fó tlolo ɔ, mǐ na yì ɖu gbadanu nùɖuɖu ɖò nǔɖutɛn Italie tɔn enɛ."
"Je cherche mes clés depuis vingt minutes sans succès, où ai-je bien pu les mettre ?","Un ko ɖo cavi ce lɛ ba wɛ sin ceju ko bɔ un mɔ nu jɛ mɛ a, fitɛ un ka sixu ko ze ye ɖe ?"
Il faudrait que nous partions avant huit heures pour éviter les embouteillages du matin.,"Mǐ ɖó na gosin finɛ cobɔ gan tantɔn na xò, bo na dó nyì alɔ nú agbɔ̌n zǎnzǎn tɔn lɛ."
"Hier soir, il a neigé abondamment et ce matin tout le jardin est complètement blanc.","Zǎn e wá yì é mɛ ɔ, laglasi ja syɛnsyɛn bɔ zǎnzǎn égbé ɔ, jikpá ɔ bǐ wɛ wé bǐ mlɛ́mlɛ́."
"Dans dix ans, j'espère que tu auras réalisé tous les rêves dont tu me parles.","Xwe wo mɛ ɔ, un ɖi ɖɔ mi na ko mɔ dlɔ e mi nɔ ɖɔ nu mi lɛ bi."
"Pendant qu'il dormait profondément, les enfants ont préparé une surprise pour son anniversaire.","Hwenu e é ɖò amlɔ dɔ́ wɛ ganji é ɔ, vǐ lɛ sɔnǔ nú nǔ e é na kpaca mɛ é ɖé nú jigbezán tɔn."
"Avant de prendre une décision importante, je réfléchis toujours longuement aux conséquences possibles.","Cobonu un na wá gbeta taji ɖé kɔn ɔ, un nɔ lin tamɛ kpɔ́n ganji hwebǐnu dó nǔ e sixu tɔ́n sín mɛ é jí."
"Quand tu auras visité Paris, tu comprendras pourquoi cette ville attire autant de touristes.","Enyi a ko yì Paris ɔ, a na mɔ nukúnnú jɛ nǔ e wu toxo elɔ nɔ dɔn tomɛyitɔ́ gègě wá é wu."
Je ne pourrai pas venir demain soir parce que je dois garder ma petite sœur.,"Un na sixu wá sɔ gbadanu ǎ, ɖó un ɖó na kpé nukún dó nɔví ce nyɔnu kpɛví ɔ wu."
"Chaque fois que je vois ce film, je pleure à la fin, c'est plus fort que moi.","Hweɖebǔnu e un kpɔ́n fímu elɔ é ɔ, un nɔ ya avǐ ɖò vivɔnu, un nɔ sixu gɔn nǔ wà ǎ."
Une vague de bonheur intense m'a submergé lorsque j'ai appris que mon projet favori avait enfin été accepté par le jury.,Awǎjijɛ ɖaxó ɖé gɔ́ ayi ce mɛ hwenu e un sè ɖɔ hwɛɖɔtɔ́ lɛ wá yí gbè nú azɔ̌ e un yí wǎn na hugǎn é é.
"Exténué après cette nuit blanche passée à réviser, mes paupières sont si lourdes que j'ai du mal à garder les yeux ouverts.","Ðó nǔ cikɔ nú mì ɖò zǎn enɛ e un zán dó gbéjé nǔ lɛ kpɔ́n é gudo wutu ɔ, nukún ce lɛ nɔ kpɛn sɔmɔ̌ bɔ un nɔ mɔ wuvɛ̌ bo nɔ hun nukún."
La peur rétracte mon estomac et fige mon sang dans mes veines à chaque bruit suspect dans la maison silencieuse.,"Xɛsi nɔ hɛn xomɛ ce xú, bo nɔ bló bɔ hun ce nɔ xú ɖò kan ce lɛ mɛ hwenu e un nɔ sè zǐngídi e è nɔ ɖó adingban na ɖò xwé e mɛ è ma nɔ ɖɔ xó ɖè ǎ é ɖé gbè é bǐ é."
Je me sens si léger et serein depuis que j'ai pris la décision de tout quitter pour voyager à travers le monde.,Un nɔ mɔ ɖɔ un fá bo lɛ́ vo tawun sín hwenu e un wá gbeta ɔ kɔn bo na jó nǔ lɛ bǐ dó bo na gbɔn gbɛ̀ ɔ mɛ é.
La colère gronde en moi comme un volcan prêt à entrer en éruption contre cette injustice flagrante.,Xomɛsin ɖò xixo wɛ ɖò ayi ce mɛ myɔ e ɖò gbesisɔmɛ bo na tɔ́n dó nǔagɔwaxámɛ e ɖò wɛn é enɛ jí é ɖɔhun.
"Un profond sentiment de solitude m'envahit le soir, lorsque les rires des autres familles filtrent à travers les murs.","Un nɔ mɔ ɖɔ un ɖò nyiɖokpo tawun ɖò gbadanu, hwenu e xwédo ɖevo lɛ sín nǔkiko nɔ gbɔn dǒ lɛ mɛ é."
L'émotion est si forte que des larmes de joie roulent librement sur mes joues lors de nos retrouvailles.,Lee nǔ cí nú mì é syɛn sɔmɔ̌ bɔ awǎjijɛ sín ɖasin nɔ sà sín atán ce jí ɖò kpléɖókpɔ́ mǐtɔn hwenu.
La fatigue accumulée durant ce mois de travail intense pèse lourdement sur mes épaules et mon esprit.,Nǔcikɔ e un kplé ɖò azɔ̌ syɛnsyɛn sun elɔ mɛ é nɔ hɛn abɔta ce kpo ayi ce kpo syɛnsyɛn.
La honte me brûle les joues quand je repense à ma réaction disproportionnée lors de cette dispute inutile.,Winnya nɔ fyɔ́ atán ce hwenu e un nɔ lin tamɛ dó lee un wà nǔ gbɔn ɖò ali e ma sɔgbe ǎ é nu ɖò xóɖɔɖókpɔ́ e ma ɖó lè ǎ é enɛ hwenu é jí é.
Une douleur lancinante à la cheville me rappelle constamment ma chute malheureuse dans l'escalier hier.,Wuvɛ̌ e ɖò afɔkpo ce mɛ bo ɖò xixo wɛ é nɔ flín mì lee un jɛte sín escalier jí sɔ̀ bɔ é ma nyɔ́ ǎ é gbɔn é hwebǐnu.
La fierté gonfle ma poitrine en voyant mes enfants accomplir avec brio ce dont j'avais toujours rêvé.,Goyiyi nɔ gɔ́ngɔ́n ɖò akɔ́n ce mɛ hwenu e un nɔ mɔ bɔ vǐ ce lɛ nɔ wà nǔ e un nɔ jló tɛgbɛ é kpo nǔnywɛ kpo é.
"La surprise m'a cloué sur place lorsque tous mes amis ont surgi en hurlant ""Joyeux anniversaire !""","É kpaca mì hwenu e xɔ́ntɔn ce lɛ bǐ tɔ́n ajijimɛ ɔ, bo ɖò xó sú wɛ ɖɔ &quot;Jigbezán ɖagbe nú we!&quot;"
La nostalgie me serre le cœur lorsque je tombe sur cette vieille photo de notre insouciante jeunesse.,Nǔ e un nɔ lin é nɔ hɛn ayi ce wá hwenu e un nɔ mɔ fɔtóo xóxó elɔ e mɛ winnyawinnya mǐtɔn e ma nɔ ɖó adohu adohu ǎ é ɖè é.
Le trac me noue la gorge et fait trembler ma voix juste avant de monter sur scène pour mon discours.,"Xɛsi e un nɔ ɖi ɖò agbahwlɛnhwlɛntɛn é nɔ hɛn kɔ ce syɛnsyɛn, bo nɔ zɔ́n bɔ gbè ce nɔ ɖò sísɔ́sísɔ́ wɛ cobɔ un nɔ yì agbahwlɛnhwlɛn jí bo na xwlé xóɖiɖɔ ce mɛ."
"Soulagé, je peux enfin expirer profondément après avoir reçu les résultats rassurants des examens médicaux.","Ðó un mɔ gbɔdónúmɛ wutu ɔ, un wá gbɔjɛ syɛnsyɛn ɖé hwenu e un mɔ nǔ e è gbéjé kpɔ́n ɖò dotóoxwé lɛ é sín lè e dó gbɔ nú mì é gudo é."
La curiosité me pousse à ouvrir cette lettre mystérieuse qui n'a ni nom d'expéditeur ni adresse de retour.,Nǔ ba kpɔ́n wɛ zɔ́n bɔ un hun wema nǔbudo tɔn elɔ e mɛ e sɛ́ wema ɔ dó é sín nyikɔ alǒ adlɛsi e jí è na sɛ́ wema ɔ dó é ǎ é.
"Frissonnant de tous mes membres, je remonte la couverture sur mon menton pour lutter contre ce froid glacial.","Un ɖò sísɔ́sísɔ́ wɛ gbɔn fí bǐ, bo dɔn avɔ e è sɔ́ dó bló gǒ ce na é yì jǐ bo na dó ɖí xwi xá avivɔ laglasi tɔn ɔ."
"L'excitation me fait bondir du lit bien avant le lever du soleil, impatiente de commencer cette nouvelle aventure.","Akpakpa e sɔ́ mì é nɔ zɔ́n bɔ un nɔ lɔn sín zan ce jí xóxó cobɔ hwesivɔ nɔ tɔ́n, bɔ akpakpa ɖò sisɔ mì wɛ tawun ɖɔ má bɛ́ nǔ yɔyɔ̌ enɛ."
"Pratiquer une activité physique régulière, même modérée comme la marche, renforce considérablement votre système cardiovasculaire et votre moral.","Enyi a nɔ wà agbazazɔ́ hwɛhwɛ, é na bo tlɛ nyí ɖò bǎ ɖé mɛ ɖi zɔnlin ɖiɖi ɔ, é nɔ hɛn ayi towe kpo lee nǔ nɔ cí nú we é kpo lidǒ tawun."
"Une alimentation équilibrée et variée, riche en fruits et légumes, est la clé pour fournir à votre corps tous les nutriments essentiels.","Nǔɖuɖu e ɖò jlɛ̌ jí bo lɛ́ gbɔn vo é, ee mɛ atín sínsɛ́n kpo ama kpo sukpɔ́ ɖè é wɛ nyí nǔ taji e na zɔ́n bɔ agbaza towe na mɔ nǔɖuɖu taji lɛ bǐ é."
Il est crucial de boire suffisamment d'eau tout au long de la journée pour maintenir une bonne hydratation et favoriser l'élimination des toxines.,"É ɖò taji ɖɔ è ni nu sìn sukpɔ́ ɖò kéze ɔ bǐ mɛ, bo na dó sixu hɛn agbaza mɛtɔn ɖó ganji, lobo na lɛ́ d’alɔ bɔ è na ɖè aɖǐ lɛ síìn."
Un sommeil réparateur de sept à huit heures par nuit est indispensable à la régénération cellulaire et à l'équilibre hormonal.,Amlɔ e nɔ vɔ́ nǔ lɛ blóɖó nú ganxixo tɛnwe jɛ tantɔn ɖò zǎn ɖokpo mɛ é ɖò taji nú hǔn lɛ sín hlɔnhlɔn kpo jlɛ̌jininɔ e ɖò hǔn mɛ é kpo.
La gestion du stress par la méditation ou la relaxation aide à prévenir de nombreuses maladies chroniques liées au mode de vie.,"Enyi è ɖu ɖò adohu adohu jí gbɔn tamɛ linlin alǒ gbɔjɛ gblamɛ ɔ, é nɔ d’alɔ bɔ è nɔ nyì alɔ nú azɔn e ma nɔ gbɔ ǎ lɛ é gègě e nɔ tɔ́n sín gbɛzinzan mɛ lɛ é."
Prendre soin de sa santé mentale est tout aussi important que de prendre soin de sa santé physique au quotidien.,Lanmɛ na nɔ ganji ayi towe tɔn kpinkpɔn ɖò taji lee lanmɛ towe kpinkpɔn ayihɔngbe ayihɔngbe tɔn ɖò taji gbɔn é ɖɔhun.
Consultez régulièrement votre médecin traitant pour un suivi personnalisé et la réalisation de bilans de santé préventifs.,"Kàn nǔ byɔ dotóo towe hwɛhwɛ bonu é na nɔ kpɔ́n lanmɛ towe ɖò ali e sɔgbe é nu, bo na lɛ́ gbéjé lanmɛ towe kpɔ́n bo na dó glɔ́n ali nú we."
Protéger votre peau des rayons ultraviolets avec une crème solaire adaptée est le geste anti-âge le plus efficace.,Nǔ e nɔ cyɔn alɔ agbaza towe jí ɖò weziza ultraviolet tɔn lɛ sí é kpo nǔ e jɛxa é ɖé kpo wɛ nyí nǔ e nyɔ́ hugǎn bɔ è na wà bo na ɖí xwi xá mɛxoxwe é.
"Adopter une bonne hygiène bucco-dentaire, incluant brossage et détartrage régulier, prévient les caries et les maladies des gencives.","Enyi è nɔ klɔ́ nu mɛ ganji, kaka jɛ nǔ e è nɔ xò hwɛhwɛ lɛ é kpo nǔ e è nɔ xò dó nu mɛ lɛ é kpo jí ɔ, è nɔ bló bɔ aɖu lɛ nɔ xú ǎ, bɔ aɖu lɛ nɔ lɛ́ xú ǎ."
"Variez les sources de protéines dans votre assiette en alternant viandes maigres, poissons, œufs et légumineuses.","Mi nɔ ɖyɔ nǔ e mɛ proteine ɖè ɖò gannu mitɔn mɛ lɛ é gbɔn lan e ma ɖó lan ǎ lɛ é, hweví lɛ, azìn lɛ kpo linfín lɛ kpo ɖyɔɖyɔ gblamɛ."
"L'activité physique ne se limite pas au sport : jardiner, danser ou monter les escaliers sont d'excellentes habitudes.","Agbazazɔ́ ɔ, ayihun lɛ kɛɖɛ wɛ nɔ zɔ́n bɔ è nɔ bló agbazazɔ́ ǎ: jikpá mɛ yiyi, weɖuɖu alǒ escalier jí yiyi nyí aca ɖagbeɖagbe lɛ."
"Écouter les signaux de votre corps, comme la faim et la satiété, vous aide à maintenir un poids de forme naturellement.","Enyi a nɔ ɖótó nǔ e agbaza towe nɔ xlɛ́ we lɛ é, ɖi xovɛ kpo nǔɖuɖu e nɔ gɔ́ xomɛ é kpo ɔ, é nɔ d’alɔ we bɔ a nɔ hɛn agbaza towe ɖó lanmɛ syɛn hunsin ɖagbe mɛ ɖò jɔwamɔ linu."
Un suivi ophtalmologique régulier permet de détecter précocement des troubles de la vision et certaines maladies.,Nukúnmɛ kpɔ́n hwɛhwɛ nɔ zɔ́n bɔ è nɔ yawu tuùn nukúnmɛ sín tagba lɛ kpo azɔn ɖé lɛ kpo.
"Pour votre dos, apprenez les bons gestes pour soulever des charges et variez les positions si vous travaillez assis.","Nú akɔ́n towe ɔ, kplɔ́n wlɛnwín e sɔgbe bɔ è na sɔ́ nǔ dó jǐ lɛ é, bo ɖyɔ tɛn e mɛ a ɖè é, enyi a ɖò azɔ̌ wà wɛ ɖò ayijinjɔn ɔ nɛ."
La vaccination reste un outil majeur de prévention individuelle et collective contre de nombreuses maladies infectieuses.,Abɔxwí ɖiɖó kpó ɖò azɔwanú taji ɖé nyí wɛ nú mɛ ɖokpo ɖokpo kpo gbɛ̌ta kpo bo na dó gló azɔn hwɛhwɛ e nɔ hɛn mɛ gble lɛ é.
Cuisiner maison avec des produits frais vous permet de contrôler la qualité et la quantité des ingrédients utilisés.,"Enyi è ɖa nǔ ɖò xwégbe kpo nǔ e è ɖa lɛ é kpo ɔ, é nɔ zɔ́n bɔ è nɔ kpɔ́n lee nǔ e è nɔ zán lɛ é nyɔ́ sɔ́ é kpo lee ye sukpɔ́ sɔ́ é kpo."
Un bon équilibre de vie passe aussi par l'acceptation de ses limites et le respect de ses propres besoins fondamentaux.,"Gbɛzán ɖagbe ɖiɖó nɔ lɛ́ byɔ ɖɔ è ni yí gbè nú dogbó mɛtɔn lɛ, bo lɛ́ ɖó sísí nú hudo taji mɛɖesunɔ tɔn lɛ."
Protégez votre audition en limitant votre exposition aux sons forts et en utilisant des protections adaptées.,Cɔ́ tó towe gbɔn gbè ɖaxó ɖaxó lɛ ɖiɖekpo kpo nǔ e jɛxa lɛ é zinzan kpo gblamɛ.
Les interactions sociales positives et le fait de cultiver des relations bienveillantes sont essentiels à la santé mentale.,Gbɛ̌dido ɖagbe lɛ kpo kancica nukúnkpédómɛwu tɔn lɛ ɖiɖó kpo ɖò taji nú lanmɛ na nɔ ganji ayi mɛ tɔn.
Prenez le temps de faire des exercices de respiration profonde pour oxygéner votre corps et apaiser votre esprit.,"Sɔ́ hwenu dó bló nǔ e nɔ zɔ́n bɔ è nɔ gbɔjɛ syɛnsyɛn lɛ é, bo na dó na jɔhɔn agbaza towe, lobo na lɛ́ bló bɔ ayi towe na fá."
Réduire sa consommation de sel et de sucres ajoutés est un excellent moyen de prévenir l'hypertension et le diabète.,Jɛ kpo suklé e è nɔ sɔ́ dó mɛ é kpo ɖiɖekpo nyí ali ɖagbe ɖé bo na dó glɔ́n ali nú hunxixo kpo aɖɔwézɔn kpo.
Une exposition modérée à la lumière naturelle du jour est nécessaire pour la synthèse de la vitamine D.,Weziza jɔwamɔ tɔn kéze tɔn ɖò bǎ ɖé mɛ ɖò dandan cobɔ vitamine D na tɔ́n.
Pensez à vos articulations : variez les sports pour éviter les traumatismes répétés et travaillez votre souplesse.,"Lin tamɛ dó xú towe lɛ jí: nɔ ɖyɔ ayihundida towe lɛ bo ma nɔ gblewu mɛ azɔn gègě ó, lobo nɔ lɛ́ w’azɔ̌ dó lee a nɔ bló nǔ gbɔn é jí."
"Ne négligez jamais une douleur persistante ou inhabituelle, et consultez rapidement un professionnel de santé.",Ma wɔn wuvɛ e nɔ nɔ ayǐ sɔyi aló e ma nɔ jɛ hwɛhwɛ ǎ e gbeɖe ó‚ lobo yawu yi kanbyɔ mɛ e nɔ kpé nukún dó lanmɛ wu ganji e.
Lire les étiquettes nutritionnelles vous aide à faire des choix éclairés et à éviter les additifs superflus.,"Nǔɖuɖu e è wlan dó nǔɖuɖu jí lɛ é xixa nɔ d’alɔ we bɔ a nɔ sɔ́ nǔ e sɔgbe lɛ é, bo nɔ lɛ́ nyì alɔ nú nǔ e ma ɖò dandan ǎ lɛ é."
Cultiver un hobby créatif ou manuel est un excellent exutoire pour évacuer les tensions du quotidien.,Nǔɖiɖó alǒ alɔnuzɔ́wiwa sín ayiɖeɖayi ɖé ɖiɖó nyí ali ɖagbe ɖé bo na dó ɖè tagba ayihɔngbe ayihɔngbe tɔn lɛ kpò.
Les étirements après une séance de sport améliorent la récupération musculaire et préservent votre souplesse.,"Enyi a dlɛn agbaza towe ɖò agbazazɔ́ ɖé gudo ɔ, é nɔ zɔ́n bɔ kan lɛ nɔ lɛ́ syɛn d’eji, bo nɔ lɛ́ hɛn hlɔnhlɔn towe ɖó te."
"Pour la santé de vos yeux, faites des pauses régulières lorsque vous travaillez longtemps sur un écran.","Nú nukún towe lɛ na nɔ ganji ɔ, nɔ gbɔjɛ hwɛhwɛ hwenu e a ɖò azɔ̌ wà wɛ nú táan gegě ɖò nǔjlajla jí é."
Se fixer des objectifs de santé réalistes et progressifs est plus motivant et plus efficace sur le long terme.,"Lanmɛ na nɔ ganji sín nǔ e sɔgbe bo lɛ́ ɖò nukɔn yì wɛ lɛ é ɖiɖó nɔ sísɛ́ mɛ hugǎn, bo nɔ lɛ́ wà nǔ dó mɛ wu ɖò nukɔnmɛ."
La prévention est le meilleur des médicaments : adoptez dès aujourd'hui un mode de vie sain et actif.,Nukúnkpédómɛwu wɛ nyí atínkɛ́n ɖagbe hugǎn ɔ: nɔ zán gbɛzán ɖagbe bo nɔ lɛ́ hɛn nǔ gblé dó mɛ wu égbé.
Je veux de l'eau.,Un ba sin.
Je n'ai pas compris.,Un mɔ nukúnnú jɛ mɛ ǎ.
Où sont les taxis ?,Fitɛ taxi lɛ ɖe ?
C'est ouvert quand ?,Hwetɛnu é ka nɔ hun?
Je préfère celui-ci.,Un yí wǎn nú eelɔ hú ɖ’ayǐ tɔn.
Un peu d'eau.,Sin kpɛɖé.
Je dois téléphoner.,Un ɖo na ylɔ alokan.
Avec du lait.,Kpodo anɔsin kpo.
J'ai oublié mon sac.,Un wɔn saki ce.
Une table pour deux.,Tavo nú mɛ wè.
Nous vous remercions de votre confiance et de votre commande.,Mi do ku nu jiɖe mitɔn kpodo gbeɖiɖe mitɔn kpo.
Une remise exceptionnelle est accordée pour les professionnels.,È nɔ ɖè akwɛ kpò nú azɔ̌watɔ́ lɛ ɖò ali bunɔ ɖé nu.
Nous vous prions de confirmer la réception de ce colis.,Mi kɛnklɛn bo ɖexlɛ ɖɔ mi yi agban elɔ.
La négociation des termes du contrat a débuté.,È ko bɛ́ xóɖɔɖókpɔ́ dó nǔ e ɖò akɔjijɛ ɔ mɛ lɛ é jí.
Notre entreprise exporte ses produits dans le monde entier.,Azɔ̌xwé mǐtɔn nɔ sɛ́ nǔ e é nɔ bló lɛ é dó gbɛ̀ ɔ bǐ mɛ.
Le service après-vente répondra à vos questions.,Azɔ̌xɔsa e nɔ kpé nukún dó nǔxixa gudo é na na xósin nú nǔkanbyɔ towe lɛ.
L'étude de marché a été réalisée avec succès.,È fó dobanúnǔ axi ɔ tɔn ɔ ganji.
Veuillez nous faire parvenir votre devis au plus vite.,Mi kɛnklɛn bo sɛ́ xó mitɔn dó mǐ tlolo lee é nyɔ́ bló gbɔn é.
La livraison est offerte pour toute commande en ligne.,È nɔ sɛ́ nǔ e è sɛ́dó ɖò Ɛntɛnɛti jí lɛ é bǐ dó mɛ vɔ̌nu.
