fon,fr
"Ée Elizée jó Elíi dó ɔ́, é wá zé nyibú we bo dó sá vɔ̌ ná. É já mɔ e é dó ɖo gle lɛ ná wɛ ɔ́, dó bló nakí, bó ɖa lan yětɔn bo ná mɛ e ɖo fínɛ́ lɛ́ɛ, bɔ yě ɖu. Énɛ́ ɔ́ gúdo ɔ́, é sɔ́ nǔ bó xwedó Elíi, bó húzú mɛsɛntɔ́ tɔn.","Après s'être éloigné d'Élie, il revint prendre une paire de boeufs, qu'il offrit en sacrifice ; avec l'attelage des boeufs, il fit cuire leur chair, et la donna à manger au peuple. Puis il se leva, suivit Élie, et fut à son service."
"Un ba te kpodo kafe kpo a, e na cɛ nu we.","Je ne veux ni thé ni café, merci."
Agban fúɖáfúɖá wɛ̀,C’est une charge légère.
Nǔxokpɔ́n nyí nǔnywɛnú.,Douter est intelligent.
"Azan tantɔn gbe gudo, tɔ ɔ wa hun gbavi ɔ ɖo Cesar sin nukɔn mε.","Après huit jours, le père ouvrit la malle devant César :"
ylɔ ɛ bo nu azɔwatɔ lɛ wa ɔ,appelle
"Mawu Mavɔmavɔ ɖɔ nú Aalɔ́ɔn ɖó adagbigbo ɔ́ wú ɖɔ: “Yi kpé Mɔyízi ɖo gbětótló mɛ.” Ée Aalɔ́ɔn se mɔ̌ ɔ́, é yi nǔgbó, bó yi kpé Mɔyízi ɖo Mawu sín só ɔ́ kɔn, bó zunfán ɛ, bó kí si n'i.","L'Éternel dit à Aaron: Va dans le désert au-devant de Moïse. Aaron partit; il rencontra Moïse à la montagne de Dieu, et il le baisa."
Agbazazɔ́wiwa nɔ zɔ́n bɔ nǔwukpikpé tamɛ linlin tɔn nɔ gɔn ɖiɖekpo.,L’activité physique ralentit le déclin cognitif.
gbĕ,au loin
gbejí,au loin
sέ dŏ,au loin
zɔ̀,au loin
zɔgà,au loin
Ye ɖo xwe ɔ gbe,Ils sont dans la maison.
Yéége! Ma lɔn bónú Miliamu ní cí vǐ kúkú e vlɔ̌ɖówe ko gblé cóbɔ è ji i ɔ́ ɖɔhun ó.”,"Oh! qu'elle ne soit pas comme l'enfant mort-né, dont la chair est à moitié consumée quand il sort du sein de sa mère!"
Mɛ̀ ká ɖó jló tɔ̀n ?,Qui est volontaire ?
È ka sixu yì fí e è nɔ bló kplé ɖè é bo kpɔ́n tutoblonunu mitɔn à?,Est-ce qu'il serait possible de visiter les locaux afin de voir votre organisation ?
Étɛ́wú akɔta lɛ́ɛ nɔ́ ɖɔ: “Fítɛ́ Mawu yětɔn ka ɖe?”,Pourquoi les nations diraient-elles : Où donc est leur Dieu ?
din trolo din ji jε jija ji,tout de suite après il s'est mis à pleuvoir
Gàn nabí mɛ̀ a na wá ?,A quelle heure viendras-tu ?
Mì vɛ́ xá mìɖéé,Nous sommes chers l'un à l'autre.
ɖŏ nu,à cause de
ɖŏ ta mὲ,à cause de
ɖŏ... tamὲ,à cause de
ɖŏ... wŭ,à cause de
ɖò... wŭtù,à cause de
"Vǐ xlonɔ ɔ́, afɔkú wɛ é nyí nú tɔ́ tɔn; nyɔ̌nu jlɛɖɔtɔ́ cí gɔ̌ta e ma nɔ gɔn sin kun ǎ é ɖɔhun.",Un fils stupide est une calamité pour son père ; les querelles d’une femme sont une gouttière qui ne cesse de couler.
Chocolat e ɖò ɖiɖi wɛ é,Chocolat fondant
A ɖo dagbe a ?,Comment te portes-tu ?
"É sɔ́ cyɔ ɔ́ dó yɔdo é ɖésúnɔ tɔn mɛ, bɔ mɛ lɛ́ɛ ji nǔwamɛhan élɔ́ n'i ɖɔ: “Áo nɔví ce kú!”","Il mit son cadavre dans le sépulcre, et l'on pleura sur lui, en disant : Hélas, mon frère !"
Mɔ̆ wɛ̀ e ɖo é nyì,C'est ainsi qu'on l'a créé.
Un ɖó zɛ wú,J'en ai en grande quantité.
Nǔ e è nɔ mɔ ɖò lè mɛ lɛ é ko ɖiɖekpo ɖò sun atɔn elɔ mɛ; mǐ ɖó na vɔ́ akɔjijɛ nǔsatɔ́ lɛ tɔn ɖé lɛ ɖɔ xó dó jí bo na dó hɛn lè e mǐ nɔ mɔ lɛ é ɖó te.,"marges bénéficiaires se sont contractées ce trimestre, nous devons renégocier certains contrats fournisseurs pour préserver notre rentabilité."
Gaan w'ɛ ɖè,C'est évident.
Ɖo zogbɛn gbe,Dans la lampe.
bo na nɔte kpɔ́n hwenu mɛtɔn.,oir attendre son heure.
Winnya nɔ zɔ́n bɔ un nɔ kɔ́n káká yi tó ce sín nuvínu.,La honte me fait rougir jusqu’aux oreilles.
"Mawu Mavɔmavɔ, yě ɖo togun towe gbídí ɖó afɔ wú wɛ; yě ɖo tagba dó nú mɛ e nyí towe lɛ́ɛ wɛ.","Seigneur, ils écrasent ton peuple, ils affligent ton patrimoine ;"
"Vǐ súnnu ɖaxó Ovɛ́di-Edɔ́mu tɔn Cemaya ɔ́ ji vǐ, bɔ yě ɖo ali ɖaxó ɖaxó nu ɖo hɛ̌n ɔ́ nu, ɖó súnnu glegbenu akowunká wɛ nú yě.","A Schemaeja, son fils, naquirent des fils qui dominèrent dans la maison de leur père, car ils étaient de vaillants hommes;"
tamɛ tɔn sogbè,il raisonne bien
Lan tì,Du maigre de viande.
Un ɖo so fan wɛ,J’escalade le rocher.
a na kɔntinwe bo na jɛ Akosombo.,tu continueras pour arriver à Akosombo.
Nya ɖé mɔ̀ axɔ́sí bó gbɛ́ zizɛ,Un homme vit une femme du roi et refusa de se ranger.
un ma se gbe nɛ́,je ne comprends pas la langue
Laglasi yɔyɔ,Neige fraîche
Nɔnɔ yi wan nu kan lilɔn.,Grand-mère aime tricoter
Cí alokan towe hwenu e è ɖò nǔ xlɛ́ wɛ é.,Coupe ton téléphone pendant la projection.
"Gbe énɛ́ ɔ́ gbe ɖokpó ɔ́, mɛsɛntɔ́ Izáki tɔn lɛ́ɛ wá ɖɔ tɔ e kun wɛ yě ɖe ɔ́ sín xó n'i ɖɔ: “Mǐ mɔ sin”.","Ce même jour, des serviteurs d'Isaac vinrent lui parler du puits qu'ils creusaient, et lui dirent: Nous avons trouvé de l'eau."
A nɔ ɖì nŭ bĭ,Tu crois tout.
Alɔ towe jlɔ,Tu es adroit.
ahokò,usagé
cέkέ,usagé
xó,usagé
wema ɖo susu azɔmεvi ɖo nukplɔnmε xa wε,le livre fermé l'élève répète sa leçon
e ɖo xu ji sin vodungbegblamε ayizεn ɖie,il est en mer depuis plus de six semaines
toɖĕvomɛnu wɛ n'í,c'est un étranger
Nù tówé vɛ́ wŭ cè,Je ne suis pas content de toi.
"Mi zé jɛ̌ kpɛɖé dó sin e mɛ è nɔ ɖa makaloni ɖè é mɛ; é na zɔ́n bɔ é na cí ɖɛkpɛɖɛkpɛ, bo na lɛ́ zɔ́n bɔ é na ɖiɖa.","Ajoute une pincée de sel dans l’eau de cuisson des pâtes, elle rehaussera la saveur et retardera l’ébullition."
Sɔ́ awu towe ɖó awu ɖaxó ɔ jí.,Accroche ton manteau au portemanteau.
A tín ɖó ná ɖɔ̀ ná ɖɔ̀ mɔ̆ ă,Tu ne dois pas dire cela.
"Mɔyízi ɖɔ: “Ée Mawu Mavɔmavɔ ɖó kɔ mi wú, bó sɔ́ mi é ɔ́, ényí ɖɔ mi sukpɔ́ hú togun ɖě lɛ́ɛ wú wɛ ǎ; mi sukpɔ́ sɔ togun ɖě lɛ́ɛ ɖěbǔ ǎ.","Ce n'est point parce que vous surpassez en nombre tous les peuples, que l'Éternel s'est attaché à vous et qu'il vous a choisis, car vous êtes le moindre de tous les peuples."
axi fɔ̀ agban wlawlà,le marché s'est dispersé dans la précipitation
"Jĭ jà ɔ, gbɛmɛ ná fá","S’il pleut, le temps fraîchira."
"Wamamɔnɔ wɛ un nyí, un nyí mɛ bo ɖo kúdonu sín vǔ ɖokpóó. Nǔ e wa xá mì wɛ a ɖe ɔ́ syɛ́n ɖésú; ayi ce bǐ wɛ gbadó.","Je suis pauvre et moribond depuis ma jeunesse, je suis chargé de tes terreurs, je suis désemparé."
"Ðó un nɔ xlɛ́ mɛ wè e un tuùn lɛ é wutu ɔ, un tɛ́n kpɔ́n bo ɖɔ nǔ e nɔ jló ye lɛ é ɖokpo ɖokpo, bonu xóɖɔɖókpɔ́ yetɔn na bɔkun.","En présentant deux connaissances communes, j'ai veillé à mentionner leurs passions respectives pour faciliter leur conversation."
"“Mi ɖó ná ɖó xó xá nyɔ̌nu ɖé, bó lɛ́ ɖó xó xá vǐ tɔn ǎ; mi ka ɖó ná ɖó xá vǐvú tɔn nyɔ̌nu ǎ. Nú mi blǒ mɔ̌ hǔn, nǔblíblí tawun wɛ mi wa; ɖó mɛ mitɔn tawun wɛ yě nyí.","Tu ne découvriras point la nudité d'une femme et de sa fille. Tu ne prendras point la fille de son fils, ni la fille de sa fille, pour découvrir leur nudité. Ce sont tes proches parentes: c'est un crime."
A ɖo nugbo ɖɔ wε à.,Tu ne dis pas la vérité
Ye ɖo ta tɔngɔɔn bo ɖo adɔgo ɖaxo,Ils ont une tête ronde et gros ventre.
E blo nu ɖagbe,Elle a fait une bonne action
un ɖo wiwa yi wε,je ne fais que passer
Fítɛ́ a wá yì ?,D'où viens-tu ?
Mi do ku nu mi ɖo sukpɔ mitɔn wu.,Je vous remercie de votre patience.
Mɛdídá sín hwe wɛ ná cí! Myɔ e ɖo adogwle tɔn mɛ ɔ́ sɔ́ ná ji ǎ.,"La lumière du méchant s'éteindra, Et la flamme qui en jaillit cessera de briller."
Mawu nɔ zé nǔ énɛ́ lɛ́ɛ bǐ dó ɖe xlɛ́ ɖɔ émí wɛ kpa acɛ nú togun lɛ́ɛ; é nɔ́ zé nǔ énɛ́ lɛ́ɛ dó ná nǔɖuɖu yě bɔ é nɔ́ túnflá.,"Par ces moyens il juge les peuples, Et il donne la nourriture avec abondance."
Gbadanu tɛgbɛ ɔ‚ un nɔ kplá cukú ce gbɔn kɔxota ɔ mɛ.,"Tous les soirs, je promène mon chien dans le quartier."
Un ka sixu d’alɔ we bɔ a na hɛn saki kpɛví kpɛví enɛ lɛ à? Ye nɔ cí ɖɔ ye kpɛn hú lee ye ɖè tawun é ɖɔhun.,"Puis-je vous offrir mon aide pour porter ces lourds sacs, ils ont l'air bien plus lourds qu'ils n'en ont l'air."
"Bɛ́ sín gbe nɛ́ ɔ́ gbe ɔ́, Sawúlu jɛ nukún nyanya dó kpɔ́n Davídi ná jí.","Et Saül regarda David d'un mauvais oeil, à partir de ce jour et dans la suite."
É ci akunna,Il a tout boycotté.
Mɛ̆ a ɖò xɔ́ntɔ́n mɛ́ xá ?,Avec qui es-tu fiancée ?
Gbɔn amyɔxwe,Passe à gauche
Alɔ mitɔn ɖi e mi yi kplɔnyiji alavɔ ɔ! Ganxixo enɛ lɛ e un w’azɔ̌ syɛnsyɛn na lɛ é bǐ wá hɛn lè wá.,Félicitations pour ton admission à l’université ! Toutes ces heures de travail acharné ont finalement porté leurs fruits.
minɔ wa,faîtes
A ɖò gbɛ wɔ ɖu wɛ à ?,Mords-tu la vie à pleines dents ?
Yĕ jɛ̀ kiko e jí,Ils se mirent à rire de lui.
E zɔn ɖɔ a ma wa o.,Il a ordonné que tu ne viennes pas
Un ɖò hwlɛ́n dó jí,Je suis pressé.
jὲ dὲnfúnfún,avoir des boutons de chaleur
Ye ɖo ajɔ nε wε,Ils le récompensent.
"Baláamu ɖɔ nú Balaki ɖɔ: “Nɔ vɔ̌ towe kɔn fí, nú nyɛ má yi ɖótó Mawu.”","Balaam dit à Balak : Tiens-toi ici, près de ton holocauste, et j'irai à la rencontre de Dieu."
nya gannú ɔ́ kpɛɖé,penche un peu le seau
Fífá e nɔ dó gbɔ nú mɛ é .,Douceur réconfortante
Maman wɛ e na vivi na,C’est maman qui sera contente.
Vɔ xógbe elɔ ɖɔ ɖò gudo ce kpɛɖé kpɛɖé.,Répète cette phrase après moi lentement.
Mɛ ɖěbǔ nyí gǎn n'i ɖo ayǐkúngban jí ǎ; un bló e bɔ é nɔ́ ɖi xɛsi nú nǔɖé ǎ.,Sur la terre nul n'est son maître ; Il a été créé pour ne rien craindre.
băyi sa akpán kpɔnwun ɛnɛ nu n'i,bayi vends
E tuun ɖɔ un na wa,Il sait que je viendrai
Mi kɛnklɛn bo ɖó wezun kínkán ɖò kɔxota lɛ jí te.,"Arrêtez de courir dans les couloirs, s’il vous plaît."
Un ɖo wu lε wε.,Je fais ma toilette
"Mi ná mɔ yě dó mɔ kanlin blíblí. Mɛ ɖěbǔ ɖ'alɔ kúkú yětɔn wú ɔ́, mɛ ɔ́ ná nyí mɛ blíblí káká jɛ gbadanu.",Vous les regarderez comme impurs parmi tous les reptiles: quiconque les touchera morts sera impur jusqu'au soir.
Ɖo tɔsisa to,Au bord du fleuve
nya yě dó wezun nu kpó jɔhɔn ɖaxó ɖé kpó; sɔ́ jɔhɔn towe e nukɔn nǔɖé má nɔ́ nɔ te ɖe ǎ ɔ́ dó dó xɛsi yě.,"16ainsi poursuis-les par ta tempête, épouvante-les par ton ouragan !"
e gbɛ́ tè cí,il a refusé de se lever
"Ðó é víví n’i tawun ɖò gǎndidó syɛnsyɛn enɛ gudo wutu ɔ, é sè ɖɔ xú emitɔn lɛ ɖò wuvɛ̌ sè wɛ có, ayi emitɔn ka cí xwii bo lɛ́ fá ɖò ali jiwǔ ɖé nu.","Profondément satisfait après cet effort intense, il sentait ses muscles endoloris mais son esprit étrangement apaisé et serein."
E ká tuùn nŭ é ɖò na x’ɛ́ wɛ́ ɔ́ à ?,Savait-il ce qui allait lui arriver ?
é ná yì,il ira
nù nɛ́ ɔ́ wɛ̀ gbɛtɔ́ lɛ́ bì nɔ́ kánbyɔ́ yèɖéé,c'est la grande question que tous les hommes se posent
é gbɔ̀n jĭ cè,il est passé par moi
Ðɔ̀ kpódó awa kpó,Racines et ailes
azɔn ɔ húhwɛ́ nú mì,la maladie s'est apaisée pour moi
mi kpɔn,vous avez regardé
etɛ́ bló gbé a ja,que viens
Xógbe 30 e è bló ɖó xota Nùnywɛ &amp; Akɔta ɔ jí lɛ é ɖíe:,ici 30 phrases développées sur le thème de la Sagesse & la Culture :
năna tɔ bowunbá kɔmɛ gblayaa ɖokpó,maman a cousu un bomba au col large
"É ɖò sísɔ́sísɔ́ wɛ ɖó avivɔ wu, é na bo tlɛ dó awu tɔn ɖaxó ɔ ɔ nɛ.",Il frissonne de froid malgré son épais manteau.
ali ɔ xá,le chemin se rétrécit
"Étɛ́wú mɛdídá lɛ́ɛ ká kpo ɖo gbɛ? Aniwú xwe ɖo xwe jí jɛ nú yě wɛ, bɔ acɛ yětɔn lɛ́ ɖo jijɛ jí wɛ?",Pourquoi les méchants vivent-ils ? Pourquoi les voit-on vieillir et accroître leur force ?
E jlá ɖa nú atín,Il a élagué un arbre.
Nǔgbó bǐ wɛ nyɔ́ ǎ.,Toute vérité n’est pas bonne.
mí yí gbe ná à,avons-nous acceptés
"Xwe e jɛ fínɛ́ ɔ́ mɛ ɔ́, ɖo hwe ɖokpó ɔ́ nu ɔ́, Bɛni-Hadadi xa ahwanfuntɔ́ Silíi tɔn lɛ́ɛ, bó kplá yě yi toxo Afɛ́ki tɔn mɛ, bónú yě ná fun ahwan xá ahwanfuntɔ́ Izlayɛ́li tɔn lɛ́ɛ.","L'année suivante, Ben Hadad passa les Syriens en revue, et monta vers Aphek pour combattre Israël."
"Sin hwenεnu ɔ, e nɔ gbeta tɔn ji","Depuis, il est reste fidèle à sa promesse."
E vɛ́ ɖù,C’est difficile à manger.
Tender ɖuɖeji.,Appel d’offres gagné.
"Nǔɖuɖu e è sɔ́ ɖó flɛtɛli ɔ nu lɛ é nɔ xwlé xwè e mɛ è nɔ ɖu nǔ vovo lɛ ɖè é ɖé, bɔ ɖokpo ɖokpo nɔ dɔn mɛ hú ee wá yì é.",Les pâtisseries exposées en vitrine offraient un festival de couleurs et de formes toutes plus appétissantes les unes que les autres.
w'azɔ bo nu asi tɔn na mɔ kwɛ,a travaillé pour que sa femme ait de l'argent
"Nǔ e jɛ ɖò kúnkan ɖé mɛ é bǐ wɛ ɖò tan aca tɔn ɖé mɛ, bɔ è xò kplé dó wexwɛ klewun ɖé jí nú jijimɛ e ja lɛ é.","Un conte traditionnel contient toute l’expérience d’une lignée, condensée en quelques pages pour les générations futures."
é ɖé dò nú mí bĭ,il m'a mis à nu
"E gbɔ́ bó gɔ́n ɔ,́ é nyɔ́ hú",Il vaut mieux qu'il ne vienne pas.
Malukíya Halimu ví ɔ́ kpó Hacúvu Paxáti-Mɔwabu ví ɔ́ kpó ká ɖo azɔ̌ wa wɛ ɖo akpá e xwé kpe gaga myɔkpó lɛ́ɛ tɔn ɖe é.,"Une autre portion de la muraille et la tour des fours furent réparées par Malkija, fils de Harim, et par Haschub, fils de Pachath Moab."
Mawu Mavɔmavɔ nɔ dó gbe ɖo sin jí. Mawu susunɔ ɔ́ nɔ́ dó gbe. Mawu Mavɔmavɔ ɖo sin ɖaxó jí.,"La voix de l'Éternel retentit sur les eaux, Le Dieu de gloire fait gronder le tonnerre ; L'Éternel est sur les grandes eaux."
"Ɛɛn, un sa ama ce lɛ bi","Oui, j’ai vendu tous mes légumes."
E ko yi xwe ɛnɛ bɔ e wa fi,Il y a quatre ans qu'il est venu ici
Ée ax,ɔ
Afɔ ku mi.,J'ai les pieds fatigués
"É nɔ ɖɔ ɛɛn ɖó é nɔ ɖɔ ɛɛn ǎ, loɔ, ɖó gbejininɔ tɔn gbɛ́ ɖɔ é kún na ɖɔ ɛɛn nú nǔ ɖebǔ ó wutu wɛ.","Il ne dit pas non par obstination, mais parce que son intégrité lui interdit de dire oui à n’importe quoi."
Amlɔ didó ganji ɖò zǎnmɛ.,Bien dormir la nuit.
yĕ ɖò gbè cé blá wɛ̀,ils complotent contre moi
kàn byɔ̆,interroger
"É na bo tlɛ cí mɛ ɖɔhun ɔ, é nyí dɔkunnɔ alǒ hlɔnhlɔnnɔ ǎ, loɔ, mɛɖéekannuninɔ bo lɛ́ ɖó jlǒ ɖagbe ɖé kpowun wɛ.","Malgré les apparences trompeuses, il n'était ni riche ni puissant, mais simplement un homme libre et épanoui."
E nɔ nyi xixɔ à,Cela ne s’achète pas.
Nǔnywɛ́tɔ́ nɔ́ gbá nɔtɛn tɔn ɖo jɔhɔn e ɖo nyinyi wɛ ɔ́ mɛ.,Le sage construit sa demeure dans le vent qui passe.
Ali ɔ́ zɔn tlɔlɔ̀,Le chemin va tout droit.
daagbo ɖo amlɔ dɔ wɛ ɖo azinkpo tɔn mɛ,grand
kanweko,cent
un si kplɔn nu mi a,pourrais
si mɛ,sois sage
É tlú lanmɛ n’í bĭ,Il est complètement abattu.
hùn vɔ̀,être entièrement décomposé
mi go alɔ nu mi,aidez-moi
E nɔ gu bo tɛnmɛ tɛnmɛ lɛ bo nɔ sɔ do akpo mɛ,II prépare des gris-gris de toutes sortes et les met en poche
ganxixo nabí mɛ̀ a na fó azɔ̆ ɔ̀ ná,dans combien d'heures auras
gbìdí kɔ̀ nú mε,user de tous les moyens pour faire parler quelqu'un
nŭ kpikpɔ,objet à bon marché
Ani wɛ̀ Piɛ ka wà ?,Et qu’est-ce que Pierre a fait ?
e fɛ́ dó kútɔ́nú,il est parti en direction de cotonou
winnyá hú yĕ,ils ont eu honte
"Yě ɖó ɖɔ dó ali ce jí, yě dó kan nyɔxwle bó ná nyi dó kɔ nú mì. Yě kun do ɖó nukɔn ce, yě ɖésú wɛ ka wá jɛ mɛ. Agbɔ̌n",Ils avaient tendu un filet sous mes pas : Mon âme se courbait ; Ils avaient creusé une fosse devant moi : Ils y sont tombés.-Pause.
e nɔ yì toxɔ́sú gɔ́n kplikplì ă,on ne va pas chez le chef n'importe comment
cébée,du bout des doigts
cέbέε,du bout des doigts
E nɔ ɖu ye wlawla.,Il les dévore avec avidité
nǔtɛ́ wa a ɖe ɖo,qu'est
e na jì vĭ sunnu ɖokpo,elle enfantera un fils
nùsádónùtɔ́,ouvrier peintre
nùsátɔ́,ouvrier peintre
Nǔ e jɛ wá yì lɛ é sín linlin ɖaxó ɖé nɔ ɖu ɖò jǐ ce.,Je suis envahi par une profonde nostalgie.
ma dɛ̀ ɖò xó jí,ne sois pas long à parler
"A xwe xɔ ɔ́, a nǎ ɖi xɛsi ǎ, amlɔ towe ná víví.","Si tu te couches, tu n’auras aucune frayeur ; et quand tu seras couché, ton sommeil sera doux."
Un ɖó hunsin ɖagbe,J’ai une bonne santé.
aklahwezivɔ́,ictère
hweyivɔ́ asú,ictère
hwezivɔ́sú,ictère
Xomɛnyínyɔ́ kpó gbejíninɔ kpó wɛ nɔ́ hɛn axɔ́sú ɖó zinkpo jí; xomɛnyínyɔ́ wɛ nɔ sɔ́ acɛkpikpa tɔn jínjɔ́n ayǐ.,La fidélité et la loyauté gardent le roi ; il soutient son trône par la fidélité.
Makaloni karbɔna.,Pâtes à la carbonara.
Ɖo atin sa,Sous un arbre.
Judáa to ɔ́ bǐ zě Oziyási ɖó tɔ́ tɔn Amasiyasi tɛn mɛ. Xwe afɔtɔn-nukún-ɖokpó ɖó wɛ é ɖe hwenɛ́nu.,"Et tout le peuple de Juda prit Azaria, âgé de seize ans, et l'établit roi à la place de son père Amatsia."
nú kwékwé zín ɔ́ e nɔ sɛ́n bó nɔ́ jó dó b'ɛ́ nɔ́ hwɛ́n,lorsque les bananes sont parvenues à leur grosseur normale on les coupe et on les laisse mûrir
etε wutu a ɖo zɔnlin ɖi wε,pourquoi marches-tu
Lanme kú mì,Je suis accablé de fatigue.
yɔ̀ gló,le sac à provision de gló
"Xwe kanɖé énɛ́ lɛ́ɛ mɛ ɔ́, awu mitɔn lɛ́ɛ gbi ǎ, afɔ mitɔn lɛ́ɛ ka tɛ ǎ.","Ton vêtement ne s'est point usé sur toi, et ton pied ne s'est point enflé, pendant ces quarante années."
Xɔntɔn lɛ kpe bo ɖo alɔ na e ɖe wɛ,Les amis se rencontrent et se serrent la main.
"Yě cí atíngbotɔ́ e ɖe asyɔ́ nyi zungbó ɖé mɛ, bó ná sú kún tɔn dó é ɖɔhun,","On les a vus, pareils à celui qui lève La cognée dans une épaisse forêt ;"
Ye ɖo na ba tu na bo na jɛ ye wli ji.,Ils doivent être recherchés avec des fusils pour commencer à être incarcérés.
un gósin amerika tomɛ,je suis de l'amérique
"Susu kpa nú xlonɔ ɔ́, é cí awǐnnya blá dó klohwán mɛ ɖɔhun; nǔ yǎyá wɛ.",C’est attacher une pierre à une fronde que de donner gloire à un homme stupide.
Mi sɔ kɛ mi‚ ma sin xomɛ ó.,"Pardon, désolé."
Gangan wɛ sa awi vi.,Une buse a attrapé un chaton. - Les choses n'en resteront pas là.
Nu na wa nɔ wu.,Une buse a attrapé un chaton. - Les choses n'en resteront pas là.
Un jló ná dó kúdónúmɛ nú mi kpódó jiɖe kpó ɖɔ un ɖò tamɛ lin dó mi jí wɛ ɖò hwenu vɛwǔ élɔ́ mɛ.,Je tiens à vous présenter mes sincères condoléances et à vous assurer que je pense bien fort à vous en cette épreuve.
Co mi na yi ɖo gan wo ɖokpo mɛ ɔ un ɖo na wa azo k,"Nous partons à onze heures, avant cela, je vais travailler un peu."
"Wanyiyi wɛ zɔ́n bɔ é wá ǎ, loɔ, azɔ̌ kpo gbejininɔ nú akpá e é dó sín hwenu línlín ɖíe é kpo wɛ zɔ́n bɔ é wá.","Il n’est pas venu par amour, mais par devoir et par loyauté envers une promesse faite autrefois."
"Ɖó mɛ e nɔ wa nǔ mɔ̌hun lɛ́ɛ nɔ́ vɛ́ mɔ nú Mawu Mavɔmavɔ, Mawu mitɔn; mɛ e ɖo to e ná ná mi wɛ Mawu Mavɔmavɔ ɖe ɔ́ mɛ lɛ́ɛ wɛ nɔ́ wa nǔ énɛ́ lɛ́ɛ; énɛ́ wú wɛ, nú mi wá to ɔ́ mɛ ɔ́, é ná nya mɛ e ɖo to ɔ́ mɛ lɛ́ɛ ɖo nukɔn mitɔn.","Car quiconque fait ces choses est en abomination à l'Éternel; et c'est à cause de ces abominations que l'Éternel, ton Dieu, va chasser ces nations devant toi."
enɛ́ gúdó ɔ́,et après
kplókádíwún,jamais plus cela n'arrivera
E ɖi blemú dó azɔ̀ tɔ́n wú,Il a été négligent pour son travail.
Un sixú sú a?,Je peux payer ?
sɔ́ d'é mὲ,mettre dedans
sɔ́ dŏ é mὲ,mettre dedans
sɔ́ ɖŏ è mὲ,mettre dedans
"Mawu ce, a ɖo mɛ e ná nɔ te nú mì ɔ́ ba wɛ; hwi ɖésú ní nɔ te nú mì, ɖó mɛ ɖé sɔ́ ɖe bó ná ɖɔ xó dó nu ce zɛ hwɛ wú ǎ.","Sois auprès de toi-même ma caution ; Autrement, qui répondrait pour moi ?"
A nɔ ɖ'amlɔ ɖɔ wε hwebinu,Tu dors tout le temps !
"Un ɖo nɔvi nyɔnu ɖokpo, kpo nɔvi sunnu ɖokpo.",J'ai un frère et une sœur
é nɔ́ bló gangannagansú dín,elle fait l'arrogante
awiisí,chatte
mà,rage
majijὲ,rage
Fitɛ mɔto nɔ nɔ bo nɔ yi tɔsisa ɔ ɖe ?,Où est l’arrêt de bus pour aller à la plage ?
Un ko jɛ̀ nŭ gò,Je suis à la retraite.
Mi ɖu lan kaka bo gɔ xo.,"Nous avons mangé de la viande, jusqu'a en être rassasiés :"
mi nɔ kan wezun ɖo kanlin ɔ gudo,nous courons derrière la bête
dò súsú,fermeture du caveau funèbre
dosúsú,fermeture du caveau funèbre
A bà hwìɖé kpɔ́n à ?,As-tu examiné ta conscience ?
asikplakpla awu axɔvi ɔ tɔn na nyɔ nu mi tawun,la robe de mariée de la princesse m'irait parfaitement
Azɔvi ce lε na yi tεnkpɔn vivε wu ɖokpo,Mes élèves vont passer un examen difficile.
a nɔ yá nu dín,tu es bavard
Yĕ ɖò wù cé nɔ́ wɛ̀,Ils se moquent de moi.
mi yi mε jɔhɔn hwenu e wa yi ɔ,avez-vous campé l'été dernier
Wun nu mi ma nu.,Verse-moi à boire
ayìkúngban,terrain
tὲn mὲ,terrain
tεnmὲ,terrain
glă se à,sois courageux n'est
"Xɔ-hɛ́nnù, xwe-ta","Famille nucléaire, foyer"
"Mi ma gɔ́ nǔ ɖěbǔ nú nǔ e Mawu Mavɔmavɔ, Mawu mitɔn zɔ́n mi bɔ un ɖɔ nú mi lɛ́ɛ é ó; mi ma ɖe ɖěbǔ kpo ó; mi zé bǐ dó wa azɔ̌ ná.","Vous n'ajouterez rien à ce que je vous prescris, et vous n'en retrancherez rien ; mais vous observerez les commandements de l'Éternel, votre Dieu, tels que je vous les prescris."
kpεɖe mε amɔ gege kwiji tawun,quelques
Afɔkpa ɔ xá mì,La chaussure me serre.
Ðɛkpɛ sixu hwlɛn gbɛ̀ ɔ gán.,La beauté sauvera peut-être le monde.
E gban ɖo tavo ɔ ta.,Il se penche au-dessus de la table
"bɔ yě ná gbo atín nú mì, bɔ é ná sukpɔ́ ɖésú, ɖó xwé e un jló ná sá ɔ́ ná sɔ́ avɔ, bó ná nyɔ́ ɖɛkpɛ ganjí.","et ils me prépareront ensemble une grande quantité de bois, car le temple que je veux construire sera particulièrement majestueux."
Yè hwlɛ́n asì,Ils se disputent une femme.
Xógbe 30 e è bló ɖó xota Nùnywɛ &amp; Akɔta ɔ jí lɛ é ɖíe.,ici 30 phrases développées sur le thème de la Sagesse & la Culture.
